university,count,lat,lng,place_id,formatted_address
Loyola University New Orleans,1,29.9345703,-90.12154170000001,ChIJ5ekdwwSlIIYR73iF5HYIg0w,"6363 St Charles Ave, New Orleans, LA 70118, USA"
Lynn University,2,26.384195,-80.1250005,ChIJOT48CGoe2YgR7EvaUiPtY60,"3601 N Military Trl, Boca Raton, FL 33431, USA"
Maria Curie Sklodowska University,1,51.2455041,22.5408742,ChIJCxKWr2NXIkcRYECcap5lmJQ,"WYDZIAŁ PRAWA, ul. Marii Curie-Skłodowskiej 5, 20-031 Lublin, Poland"
Marquette University,6,43.0386955,-87.93101399999999,ChIJWwzA14EZBYgRCxLMKlhRvVU,"1250 W Wisconsin Ave, Milwaukee, WI 53233, USA"
Marshall University,1,38.4236597,-82.42471979999999,ChIJp7yzRzEIRogR9i7Uhy_x0O4,"1 John Marshall Dr, Huntington, WV 25755, USA"
Maryland University of Integrative Health,3,39.1658751,-76.8880231,ChIJHXCrD5ret4kRgkUU-FuA3rY,"7750 Montpelier Rd, Laurel, MD 20723, USA"
Marymount University,1,38.9051975,-77.1277085,ChIJH_DSs821t4kRkgVanNs9mTw,"2807 N Glebe Rd, Arlington, VA 22207, USA"
Maryville University,1,38.6461821,-90.5036535,ChIJW_rJGq3U2IcRBhYQFm1C85c,"650 Maryville University Dr, St. Louis, MO 63141, USA"
Medical University of South Carolina,1,32.7834496,-79.94602619999999,ChIJ__9PAz96_ogRzewH47KbUE0,"268 Calhoun St, Charleston, SC 29425, USA"
Michigan State University,1,42.7250725,-84.47908269999999,ChIJY42I2lnCIogRPzuqBauYmG4,"East Lansing, MI, USA"
Michigan Technological University,3,47.1167589,-88.54601149999999,ChIJgXWA0hDIUE0R1RrWV5TK14A,"1400 Townsend Dr, Houghton, MI 49931, USA"
Middle Tennessee State University,2,35.8486229,-86.36691549999999,ChIJpcKjWZf4Y4gRstWs3B7286s,"1301 E Main St, Murfreesboro, TN 37132, USA"
Middlebury College,1,44.0081076,-73.1760412,ChIJj7_gV_5ctUwRuyfdhq0Zg-k,"14 Old Chapel Rd, Middlebury, VT 05753, USA"
Miles Law School,1,33.4808312,-86.9082778,ChIJof2rdvvhiIgRtkLWt5pDY5I,"Taggert Science Center, 5500 Myron Massey Blvd, Fairfield, AL 35064, USA"
Minnesota School of Business,1,44.9454558,-92.9421043,ChIJq6qqhfTX94cRgJa1DPpc9fQ,"8089 Globe Dr, Woodbury, MN 55125, USA"
Minnesota State University Mankato,1,44.1451163,-93.99699009999999,ChIJ4_-wYIM59IcRQQqSw4vz4Mg,"Minnesota State University, Mankato, 228, Wiecking Center, Mankato, MN 56001, USA"
Mississippi State University,2,33.4576975,-88.7941585,ChIJqwF75D41gYgRK3IANU9C8Xs,"75 B. S. Hood Rd, Mississippi State, MS 39762, USA"
Monmouth University,1,40.2802758,-74.0054114,ChIJyV792qElwokRyd-tH-RZ1FY,"400 Cedar Ave, West Long Branch, NJ 07764, USA"
Montana State University,3,45.6673524,-111.0546211,ChIJ8xcP1Q5FRVMR0ZG9AE5d_tQ,"100, Culbertson Hall, Bozeman, MT 59717, USA"
Morehouse School of Medicine,1,33.7432604,-84.41208089999999,ChIJjX71VWkD9YgRdszDwTFuJhY,"720 Westview Dr SW, Atlanta, GA 30310, USA"
Murray State University,2,36.616251,-88.3209372,ChIJwUHIHaFSeogRzGYQEfkYj2w,"1375 Chestnut St, Murray, KY 42071, USA"
Naval Postgraduate School,1,36.5968995,-121.8741343,ChIJN4spWOUAjoARx4txF4H-cgk,"1 University Circle, Monterey, CA 93943, USA"
New Jersey City University,1,40.709657,-74.0876226,ChIJZRucWxhRwokROOEC9rJ5LaI,"2039 John F. Kennedy Blvd, Jersey City, NJ 07305, USA"
New Jersey Institute of Technology,1,40.7424259,-74.1784006,ChIJ-ZbDmH1TwokRQ1_5LnoofLk,"323 Dr Martin Luther King Jr Blvd, Newark, NJ 07102, USA"
New York Institute of Technology,1,40.8080876,-73.6032926,ChIJJQlaioiGwokRNo0nI26Odmo,"Northern Boulevard, Valentines Ln, Old Westbury, NY 11568, USA"
New York University,2,40.72951339999999,-73.9964609,ChIJwZVT9ZpZwokRBfO1cTF0MNo,"New York, NY 10012, USA"
North Carolina A&T State University,1,36.0770034,-79.7718199,ChIJRQt4BcwYU4gR3o2uhA1QQL4,"1601 E Market St, Greensboro, NC 27411, USA"
North Carolina State University,3,35.7850744,-78.6812824,ChIJOXnA46L1rIkRUXe2ZJ3s8jA,"Raleigh, NC 27695, USA"
North Central University,2,44.9688111,-93.2618835,ChIJbbbF8qAys1IRI83XHfbpVVE,"910 Elliot Ave, Minneapolis, MN 55404, USA"
NorthCentral University,2,33.6413879,-111.8931655,ChIJodEAWNd1K4cR7x0iVpNV7kY,"8667 E Hartford Dr #100, Scottsdale, AZ 85255, USA"
Northcentral University,34,33.6413879,-111.8931655,ChIJodEAWNd1K4cR7x0iVpNV7kY,"8667 E Hartford Dr #100, Scottsdale, AZ 85255, USA"
Northeastern University,2,42.3398067,-71.0891717,ChIJ4VzPmRl644kRjLkiZeYAe8k,"360 Huntington Ave, Boston, MA 02115, USA"
